	GWC2	ORAL_P_A_F_Bin_00012	ORAL_P_A_F_Bin_00021	ORAL_P_A_F_Bin_00032	ORAL_P_A_F_Bin_00045	ORAL_P_A_F_MAG_00015	ORAL_P_A_M_Bin_00015	ORAL_P_A_M_Bin_00020	ORAL_P_B_F_Bin_00037	ORAL_P_B_F_MAG_00010	ORAL_P_B_F_MAG_00020	ORAL_P_B_F_MAG_00026	ORAL_P_B_F_MAG_00030	ORAL_P_B_M_Bin_00030	ORAL_P_B_M_MAG_00009	ORAL_P_B_M_MAG_00010	ORAL_P_B_M_MAG_00013	ORAL_P_C_F_Bin_00020	ORAL_P_C_F_Bin_00028	ORAL_P_C_F_MAG_00002	ORAL_P_C_F_MAG_00004	ORAL_P_C_M_Bin_00016	ORAL_P_C_M_Bin_00022	ORAL_P_C_M_Bin_00040	ORAL_P_C_M_MAG_00010	ORAL_P_C_M_MAG_00011	ORAL_P_C_M_MAG_00013	ORAL_P_D_F_Bin_00011	ORAL_T_A_F_MAG_00011	ORAL_T_A_F_MAG_00015	ORAL_T_A_F_MAG_00016	ORAL_T_B_F_Bin_00010	ORAL_T_B_F_Bin_00011	ORAL_T_B_F_Bin_00014	ORAL_T_B_M_MAG_00011	ORAL_T_B_M_MAG_00012	ORAL_T_C_F_MAG_00008	ORAL_T_C_M_Bin_00011	ORAL_T_C_M_Bin_00012	ORAL_T_C_M_Bin_00015	ORAL_T_C_M_Bin_00022	ORAL_T_C_M_MAG_00008	ORAL_T_D_F_MAG_00008	ORAL_T_D_F_MAG_00010	RAAC3	S_aal	TM7_MAG_III_A_1	TM7_MAG_III_A_2	TM7_MAG_III_B_1	TM7_MAG_III_C_1	TM7_S1_	TM7_S2_	TM7_S7_	TM7c	TM7x
Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	1	0	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	2	0	0	1	0	1
Cell division GTPase FtsZ	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1
UDP-N-acetylglucosamine enolpyruvyl transferase	1	1	1	1	0	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	0	1	2	1	0	2	1	1
Translation initiation factor IF-2, a GTPase	1	2	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	2	1	3	2	2	1
Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	3	2	3	3	1	3	3	4	3	4	5	4	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	4	2	1	4	3	2	3	3	2	2	3	1	3	3	3	3	2	3	3	3	2	3	5	1	1	3	2	3
DNA polymerase III, gamma/tau subunits	1	2	1	1	0	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	0	0	1	2	1
DNA primase (bacterial type)	1	0	1	1	0	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	2	0	1	1	0	1	1	2	1	1	2	2	2	1	0	1	1	1	1
ATP-dependent Zn proteases	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	2	2	0	0	1	1	1
Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains	4	1	2	2	1	2	2	2	2	2	4	3	2	1	2	2	2	2	2	3	0	2	2	2	2	2	1	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	3	2	6	3	1	2	2	1	2
Ribosome-binding ATPase YchF, GTP1/OBG family	1	0	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1
Peptidoglycan biosynthesis protein MviN/MurJ, putative lipid II flippase	1	1	2	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	2	0	1	1	1	1
(p)ppGpp synthase/hydrolase, HD superfamily	1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	1	2	1	1	2	1	1	1	1	1	0	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	2	3	2	2	2	0	1
Replicative DNA helicase	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	0	1	1	1	1
nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs	2	1	2	2	0	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	3	0	1	2	1	2
Preprotein translocase subunit SecA (ATPase, RNA helicase)	1	1	1	2	0	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	1	0	1
NAD-dependent DNA ligase	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	0	1	3	0	1
Transcription antitermination factor NusG	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	2	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1
Inorganic pyrophosphatase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1
Methionyl-tRNA synthetase	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	0	1	1
Prolyl-tRNA synthetase	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	0	0	1	0	1
Leucyl-tRNA synthetase	1	1	1	1	0	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	0	2	1	1	1	1	1	1	2	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1
Exonuclease I	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	0	1	1	0	1
Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	2	1	1	1	1	1	1	1	0	1	2	0	1	1	0	1
Alanyl-tRNA synthetase	1	2	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	0	2	1	0	0	0	1	1
Glutamyl- or glutaminyl-tRNA synthetase	1	1	2	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1
Predicted membrane GTPase involved in stress response	1	1	1	2	0	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	0	1	1	1	1	2	1	1	1	0	2	1	0	0	1	1	1
Exonuclease III	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	0	2	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1
ABC-type lipoprotein export system, ATPase component	3	3	4	4	4	5	4	4	3	4	5	6	7	4	6	5	6	3	4	4	4	3	2	7	7	5	5	6	4	4	3	4	2	3	5	3	3	2	1	3	4	3	3	3	1	2	6	1	5	5	2	2	6	2	3
Valyl-tRNA synthetase	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	3	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	2	0	0	1	2	1
Preprotein translocase subunit SecG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Tfp pilus assembly protein PilT, pilus retraction ATPase	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1
RecA/RadA recombinase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	2	1	0	0	1	0	1
Type IV secretory pathway, VirB4 component	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	0	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	2	1	2	0	0	1	1	1	1
Type II secretory pathway, component PulF	2	1	2	2	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	0	1	1	2	1	1	2	2	2	2	1	2	1	1	3	2	2
Transcriptional regulator of heat shock response	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Ribosomal protein L6P/L9E	1	1	0	0	0	1	1	1	1	1	1	0	2	0	2	1	2	2	0	1	1	2	1	0	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	2	1
Ribosomal protein S1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	2	1	1	1	1
Cellulose biosynthesis protein BcsQ	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	1	1
DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	4	3	1	2	2	1	2
Recombinational DNA repair protein RecR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Threonyl-tRNA synthetase	1	0	1	1	0	1	1	1	1	1	2	2	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	1	1	1	1
DNA gyrase/topoisomerase IV, subunit B	1	0	1	1	0	1	1	2	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	2	2	1	1	1	0	2	1	1	1	1	0	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1
5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
Cysteinyl-tRNA synthetase	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	0	0	1	1	1
Conserved DNA-binding protein YbaB (function unknown)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Uncharacterized conserved protein	2	1	7	3	3	7	6	5	4	2	6	2	4	3	5	2	5	4	4	2	2	4	3	4	3	2	3	5	1	2	2	2	2	2	1	2	1	2	1	2	2	1	1	2	2	2	6	3	4	5	5	7	5	2	5
ABC-type ATPase involved in cell division	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
Translation elongation factor EF-Ts	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	0	1
Translation elongation factor EF-G, a GTPase	1	1	1	1	0	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	1	0	1
tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain	1	1	2	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1
Glycyl-tRNA synthetase (class II)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	0	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	2	1	2	1	1	1	1	0	1	1	0	2	1	1	1
GTPase involved in cell partioning and DNA repair	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	0	0	1
Holliday junction resolvasome RuvABC endonuclease subunit	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
Holliday junction resolvasome RuvABC DNA-binding subunit	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
Lysyl-tRNA synthetase (class II)	1	3	1	1	1	2	2	1	1	2	2	1	0	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	0	1	2	0	0	1	0	1
Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	2	0	0	1	0	1
Glycine/serine hydroxymethyltransferase	1	2	0	1	0	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	0	1	1	1	0	1	2	1
UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	0	1
tRNA-dihydrouridine synthase	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Protein chain release factor B	1	1	1	1	0	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
Tyrosyl-tRNA synthetase	1	1	1	1	0	1	2	2	1	1	1	2	1	1	1	2	1	1	0	1	1	1	0	0	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	0	1	4	0	1
Peptide deformylase	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA-binding transcriptional regulator, ArsR family	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	3	1	3	2	3	1	2	1	2	2	3	2	2	3	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	0	1	2	3	2
Oligoribonuclease (3'-5' exoribonuclease)	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Dephospho-CoA kinase	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Transcriptional and/or translational regulatory protein YebC/TACO1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1
Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	1	0	2	1	3	1	1	2	2	3	1	2	2	1	1	2	2	3	1	1	3	1	2	2	1	1	1	0	1	0	3	2	1	2	1	1	1	0	1	1	2	3	1	1	1	1	1	1	4	3	0	2	1	3	2
Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	1	0	1
Signal peptidase I	1	1	1	1	1	2	1	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	3	1	1	2	1	1
Excinuclease UvrABC helicase subunit UvrB	1	1	2	1	0	1	1	1	1	1	0	1	2	0	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	2	1
mRNA degradation ribonuclease J1/J2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	0	0	1	1	1
Transcription antitermination factor NusA, contains S1 and KH domains	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	0	0	1
DNA segregation ATPase FtsK/SpoIIIE and related proteins	1	0	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	2	1	1	1	3	1	2	0	2	1	1	1	2	1	1	1	1	1	1	3	0	0	1	1	1
